"PLT_CN","SPCD","SEED.PRES","fire.sev","PREV_BAH","ECOSUBCD","mult.comp.coexist","MAT_ref_mean","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_ref_mean","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z"
14546649020004,19,1,0,13.36114149,"M341Cl","resilience",3.02258064516129,1.27741935483871,2.03387746999725,2.77741935483871,4.42214268097886,4.67741935483871,7.44727861488891,321.612903225806,95.3870967741935,1.18240586733758,52.3870967741935,0.649383540262506,62.3870967741935,0.77334222097764
14546649020004,93,1,0,13.36114149,"M341Cl","resilience",3.02258064516129,1.27741935483871,2.03387746999725,2.77741935483871,4.42214268097886,4.67741935483871,7.44727861488891,321.612903225806,95.3870967741935,1.18240586733758,52.3870967741935,0.649383540262506,62.3870967741935,0.77334222097764
14546996020004,19,1,0,22.27569456,"M331Dn","resilience",4.52903225806452,1.67096774193548,2.02318128446298,2.87096774193548,3.47612228411594,4.77096774193548,5.77661220023312,421.193548387097,109.806451612903,1.13913637391629,81.8064516129032,0.848663291495803,118.806451612903,1.23250272183716
14546996020004,93,0,0,22.27569456,"M331Dn","resilience",4.52903225806452,1.67096774193548,2.02318128446298,2.87096774193548,3.47612228411594,4.77096774193548,5.77661220023312,421.193548387097,109.806451612903,1.13913637391629,81.8064516129032,0.848663291495803,118.806451612903,1.23250272183716
14547013020004,19,1,0,16.68637813,"M331Dn","resilience",4.14193548387097,1.65806451612903,2.00895213682065,2.95806451612903,3.58406441530065,4.85806451612903,5.88615159154066,402.193548387097,114.806451612903,1.23760410119061,85.8064516129032,0.924986487543419,117.806451612903,1.26994385432653
14547013020004,93,0,0,16.68637813,"M331Dn","resilience",4.14193548387097,1.65806451612903,2.00895213682065,2.95806451612903,3.58406441530065,4.85806451612903,5.88615159154066,402.193548387097,114.806451612903,1.23760410119061,85.8064516129032,0.924986487543419,117.806451612903,1.26994385432653
14547117020004,19,1,0,4.737469635,"M331Ek","reassembly",-0.516129032258065,1.81612903225806,2.10543289537631,2.81612903225806,3.26472987151602,4.81612903225806,5.58332382379544,203.032258064516,132.967741935484,1.94386088157869,70.9677419354839,1.03748033466111,76.9677419354839,1.12519458113701
14547117020004,93,1,0,4.737469635,"M331Ek","reassembly",-0.516129032258065,1.81612903225806,2.10543289537631,2.81612903225806,3.26472987151602,4.81612903225806,5.58332382379544,203.032258064516,132.967741935484,1.94386088157869,70.9677419354839,1.03748033466111,76.9677419354839,1.12519458113701
14547118020004,19,1,0,9.473231612,"M331Ek","reassembly",0.974193548387097,1.7258064516129,2.01717198206783,2.8258064516129,3.30288346970359,4.8258064516129,5.64054071995042,295.161290322581,168.838709677419,2.25242318096208,93.8387096774193,1.25187218827258,100.838709677419,1.34525694759027
14547118020004,93,1,0,9.473231612,"M331Ek","reassembly",0.974193548387097,1.7258064516129,2.01717198206783,2.8258064516129,3.30288346970359,4.8258064516129,5.64054071995042,295.161290322581,168.838709677419,2.25242318096208,93.8387096774193,1.25187218827258,100.838709677419,1.34525694759027
14547119020004,19,1,0,3.956399157,"M331Ek","reassembly",1.1741935483871,1.8258064516129,2.09990678460341,2.9258064516129,3.36504497108709,4.8258064516129,5.55028365683162,276.838709677419,141.161290322581,1.92584092036106,84.1612903225807,1.14819903135786,88.1612903225807,1.20277039198967
